;TYPE;PRJ CODE;TITLE;Brief Description;ASSIG MATRICOLA 1;ASSIG MATRICOLA 2;DATA ASSIGN.;DATA FINAL DELIVERY ;X;Possible Thesys 1;Possible Thesys 2;Possible Thesys 3;Possible Thesys 4;X
;PROF. ASS.;SEC-PRJ-1_23;Federated File System Encoding at the Edge in Smart Cities MPU-based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Smart Cities scenarios the device asks to the federated poles how to decrypt it. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-1B_23;Federated File System Encoding at the Edge in Smart Cities MPU-based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Smart Cities scenarios the device asks to the federated poles how to decrypt it. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-2_23;Federated File System Encoding at the Edge in Smart Buildings MPU-based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Smart Cities scenarios the device asks to the federated Fiber-Optics Gateways in the Building how to decrypt it. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-3_23;Federated File System Encoding at the Edge in Smart Cities MCU-based, in TOIT language Based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Smart Cities scenarios the device asks to the federated poles how to decrypt it. Here MCU (ESP32) devices are considered leveraging Jaguar Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-4_23;Federated File System Encoding at the Edge in Smart Buildings MCU-based in TOIT language Based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. n Smart Cities scenarios the device asks to the federated Fiber-Optics Gateways in the Building how to decrypt it. Here MCU (ESP32) devices are considered leveraging Jaguar Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-5_23;Federated File System Encoding at the Edge in Enterprises with more Sites MCU-based in TOIT language Based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Enterprises scenarios the device asks to the federated devices in the VPNs Sites how to decrypt it. Here MCU (ESP32) devices are considered leveraging Jaguar Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-6_23;Federated File System Encoding at the Edge in Enterprises with more Sites MPU-based;The Edge devices present a FileSystem not accesible, but only after the boot process and entering the at-the Edge Federation, asking to the neighbours will be able to mount the secure partition. In Enterprises scenarios the device asks to the federated devices in the VPNs Sites how to decrypt it. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System.;;;;;;;;;;
;PROF. ASS.;SEC-PRJ-7_23;Social media and extra parameters for Advanced MFA adoptions and implementations. MPU-based;Social media may offer another way for implementing Out of Band Communications for exchanging OTPs for Advanced MFA adoptions. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System;541409;;11/01/2025;;;;;;;
;PROF. ASS.;SEC-PRJ-8_23;Social media and extra parameters for Advanced MFA adoptions and implementations. MCU-based;Social media may offer another way for implementing Out of Band Communications for exchanging OTPs for Advanced MFA adoptions.  Here MCU (ESP32) devices are considered leveraging Jaguar Container-based System.;539716;;10/01/2025;;;;;;;
;PROF. ASS.;SEC-PRJ-9_23;The X3DH Protocol in MCU devices  in TOIT language Based;The X3DH Protocol is adopted when all parties are not online at the same moment. Many use-cases require this security capabiliy. Implementing the protocol in MCU (ESP32) devices in TOIT Language ;546525;;17/01/2025;;;;;;;
;PROF. ASS.;SEC-PRJ-10_23;The X3DH Protocol in MPU devices in GO language Based;The X3DH Protocol is adopted when all parties are not online at the same moment. Many use-cases require this security capabiliy. Implementing the protocol in MPU (Raspberry) devices in TOIT Language;542373;551477;31-mar;;;;;;;
;PROF. ASS.;SEC-PRJ-11_24;Secure Proximity Activations MPU-based;Entering a Location with a SmartPhone and/or a SmartCar, and/or a SmartByke may alert a Bluetooth/WiFi Device and automatically actuating gates, lights, alarms, etc. Leveraging simple MAC Addresses is not secure at all. A new advertisement system should be adopted. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System.;546204;545312;07/05/2025;;;;;;;
;PROF. ASS.;SEC-PRJ-12_25;Secure Proximity Activations MCU-based in TOIT language Based;Entering a Location with a SmartPhone and/or a SmartCar, and/or a SmartByke may alert a Bluetooth/WiFi Device and automatically actuating gates, lights, alarms, etc. Leveraging simple MAC Addresses is not secure at all. A new advertisement system should be adopted. Here MCU (ESP32) devices are considered leveraging Jaguar Container-based System.;548507;;;;;;;;;
;PROF. ASS.;SEC-PRJ-7B_23;Social media and extra parameters for Advanced MFA adoptions and implementations. MPU-based;Social media may offer another way for implementing Out of Band Communications for exchanging OTPs for Advanced MFA adoptions. Here MPU (Raspberry) devices are considered leveraging Docker Container-based System;549928;550139;07/05/2025;;;;;;;
